,Business Id,Account name,Account Full Name,Account type
0,2,Bookkeeper,Bookkeeper,Expenses
1,2,Lawyer,Lawyer,Expenses
2,2,Maintenance and Repair,Maintenance and Repair,Expenses
3,2,Building Repairs,Building Repairs,Expenses
4,2,Computer Repairs,Computer Repairs,Expenses
5,2,Advertising,Advertising,Expenses
6,2,Bank Charges,Bank Charges,Expenses
7,2,Commissions & fees,Commissions & fees,Expenses
8,2,Dues & Subscriptions,Dues & Subscriptions,Expenses
9,2,Insurance,Insurance,Expenses
10,2,Legal & Professional Fees,Legal & Professional Fees,Expenses
11,2,Meals and Entertainment,Meals and Entertainment,Expenses
12,2,Miscellaneous,Miscellaneous,Other Expense
13,2,Office Expenses,Office Expenses,Expenses
14,2,Promotional,Promotional,Expenses
15,2,Rent or Lease,Rent or Lease,Expenses
16,2,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
17,2,Stationery & Printing,Stationery & Printing,Expenses
18,2,Supplies,Supplies,Expenses
19,2,Taxes & Licenses,Taxes & Licenses,Expenses
20,2,Travel,Travel,Expenses
21,2,Travel Meals,Travel Meals,Expenses
22,2,Utilities,Utilities,Expenses
23,2,Interest Earned,Interest Earned,Other Income
24,2,Other Portfolio Income,Other Portfolio Income,Other Income
25,2,Penalties & Settlements,Penalties & Settlements,Other Expense
26,2,Disposal Fees,Disposal Fees,Expenses
27,2,Equipment Rental,Equipment Rental,Expenses
28,2,Uncategorized Income,Uncategorized Income,Income
29,2,Uncategorized Expense,Uncategorized Expense,Expenses
30,2,Uncategorized Asset,Uncategorized Asset,Other Current Assets
31,2,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
32,2,Coffee and snack shops,Coffee and snack shops,Income
33,2,Checking,Checking,Bank
34,2,Savings,Savings,Bank
35,2,Truck,Truck,Fixed Assets
36,2,Original Cost,Original Cost,Fixed Assets
37,2,Depreciation,Depreciation,Fixed Assets
38,2,Depreciation,Depreciation,Other Expense
39,2,Mastercard,Mastercard,Credit Card
40,2,Visa,Visa,Credit Card
41,2,Loan Payable,Loan Payable,Other Current Liabilities
42,2,Notes Payable,Notes Payable,Long Term Liabilities
43,2,Fast food restaurants,Fast food restaurants,Income
44,2,Job Materials,Job Materials,Income
45,2,Decks and Patios,Decks and Patios,Income
46,2,Campground and RV park services,Campground and RV park services,Income
47,2,Street vending locations,Street vending locations,Income
48,2,Other food services,Other food services,Income
49,2,Labor,Labor,Income
50,2,Installation,Installation,Income
51,2,Maintenance and Repair,Maintenance and Repair,Income
52,2,Catering services,Catering services,Income
