scenario_id,anomaly_type,magnitude,dimension,date_start,date_end,affected_rows,ground_truth_value,expected_detection,verified
A1_spike_1_1.5sigma_positive,spike,1.5,region=North,2024-06-15,2024-06-15,15,2262712.59,TRUE,TRUE
A1_spike_2_1.5sigma_positive,spike,1.5,region=Central,2024-06-15,2024-06-15,5,570391.47,TRUE,TRUE
A1_spike_3_1.5sigma_negative,spike,1.5,region=North,2024-06-15,2024-06-15,5,609928.62,TRUE,TRUE
A1_spike_4_1.5sigma_negative,spike,1.5,region=Central,2024-06-15,2024-06-15,5,444765.23,TRUE,TRUE
A1_spike_5_1.5sigma_positive,spike,1.5,product=Software Dev,2024-06-15,2024-06-15,10,1596319.16,TRUE,TRUE
A1_spike_6_1.5sigma_positive,spike,1.5,product=Cloud Services,2024-06-15,2024-06-15,10,1356011.02,TRUE,TRUE
A1_spike_7_1.5sigma_negative,spike,1.5,product=Software Dev,2024-06-15,2024-06-15,15,1900874.99,TRUE,TRUE
A1_spike_8_1.5sigma_negative,spike,1.5,product=Cloud Services,2024-06-15,2024-06-15,15,1819800.39,TRUE,TRUE
A1_spike_9_1.5sigma_positive,spike,1.5,region=North,2024-06-15,2024-06-15,11,1671698.67,TRUE,TRUE
A1_spike_10_1.5sigma_positive,spike,1.5,region=Central,2024-06-15,2024-06-15,10,1161117.96,TRUE,TRUE
A1_spike_11_1.5sigma_negative,spike,1.5,region=North,2024-06-15,2024-06-15,7,947671.03,TRUE,TRUE
A1_spike_12_1.5sigma_negative,spike,1.5,region=Central,2024-06-15,2024-06-15,14,1217509.97,TRUE,TRUE
A1_spike_13_1.5sigma_positive,spike,1.5,product=Software Dev,2024-06-15,2024-06-15,15,2296903.38,TRUE,TRUE
A1_spike_14_1.5sigma_positive,spike,1.5,product=Cloud Services,2024-06-15,2024-06-15,6,822181.68,TRUE,TRUE
A1_spike_15_1.5sigma_negative,spike,1.5,product=Software Dev,2024-06-15,2024-06-15,9,1188559.6099999999,TRUE,TRUE
A1_spike_16_1.5sigma_negative,spike,1.5,product=Cloud Services,2024-06-15,2024-06-15,10,987581.5,TRUE,TRUE
A1_spike_17_2.0sigma_positive,spike,2.0,region=North,2024-06-15,2024-06-15,8,1383555.76,TRUE,TRUE
A1_spike_18_2.0sigma_positive,spike,2.0,region=Central,2024-06-15,2024-06-15,6,537486.96,TRUE,TRUE
A1_spike_19_2.0sigma_negative,spike,2.0,region=North,2024-06-15,2024-06-15,13,1411613.97,TRUE,TRUE
A1_spike_20_2.0sigma_negative,spike,2.0,region=Central,2024-06-15,2024-06-15,15,1232478.93,TRUE,TRUE
A1_spike_21_2.0sigma_positive,spike,2.0,product=Software Dev,2024-06-15,2024-06-15,8,1156623.0899999999,TRUE,TRUE
A1_spike_22_2.0sigma_positive,spike,2.0,product=Cloud Services,2024-06-15,2024-06-15,10,1379558.04,TRUE,TRUE
A1_spike_23_2.0sigma_negative,spike,2.0,product=Software Dev,2024-06-15,2024-06-15,14,1641819.94,TRUE,TRUE
A1_spike_24_2.0sigma_negative,spike,2.0,product=Cloud Services,2024-06-15,2024-06-15,5,556533.29,TRUE,TRUE
A1_spike_25_2.0sigma_positive,spike,2.0,region=North,2024-06-15,2024-06-15,8,1064049.66,TRUE,TRUE
A1_spike_26_2.0sigma_positive,spike,2.0,region=Central,2024-06-15,2024-06-15,12,1281069.1199999999,TRUE,TRUE
A1_spike_27_2.0sigma_negative,spike,2.0,region=North,2024-06-15,2024-06-15,12,1391306.77,TRUE,TRUE
A1_spike_28_2.0sigma_negative,spike,2.0,region=Central,2024-06-15,2024-06-15,11,866349.28,TRUE,TRUE
A1_spike_29_2.0sigma_positive,spike,2.0,product=Software Dev,2024-06-15,2024-06-15,10,1447908.17,TRUE,TRUE
A1_spike_30_2.0sigma_positive,spike,2.0,product=Cloud Services,2024-06-15,2024-06-15,7,1090995.99,TRUE,TRUE
A1_spike_31_2.0sigma_negative,spike,2.0,product=Software Dev,2024-06-15,2024-06-15,8,824631.99,TRUE,TRUE
A1_spike_32_2.0sigma_negative,spike,2.0,product=Cloud Services,2024-06-15,2024-06-15,10,888312.76,TRUE,TRUE
A1_spike_33_2.5sigma_positive,spike,2.5,region=North,2024-06-15,2024-06-15,12,2223949.67,TRUE,TRUE
A1_spike_34_2.5sigma_positive,spike,2.5,region=Central,2024-06-15,2024-06-15,13,1244647.19,TRUE,TRUE
A1_spike_35_2.5sigma_negative,spike,2.5,region=North,2024-06-15,2024-06-15,13,1296509.46,TRUE,TRUE
A1_spike_36_2.5sigma_negative,spike,2.5,region=Central,2024-06-15,2024-06-15,14,934841.74,TRUE,TRUE
A1_spike_37_2.5sigma_positive,spike,2.5,product=Software Dev,2024-06-15,2024-06-15,9,1295369.39,TRUE,TRUE
A1_spike_38_2.5sigma_positive,spike,2.5,product=Cloud Services,2024-06-15,2024-06-15,13,2087268.83,TRUE,TRUE
A1_spike_39_2.5sigma_negative,spike,2.5,product=Software Dev,2024-06-15,2024-06-15,11,1122334.4,TRUE,TRUE
A1_spike_40_2.5sigma_negative,spike,2.5,product=Cloud Services,2024-06-15,2024-06-15,11,1173776.07,TRUE,TRUE
A1_spike_41_2.5sigma_positive,spike,2.5,region=North,2024-06-15,2024-06-15,15,2286617.95,TRUE,TRUE
A1_spike_42_2.5sigma_positive,spike,2.5,region=Central,2024-06-15,2024-06-15,8,873840.87,TRUE,TRUE
A1_spike_43_2.5sigma_negative,spike,2.5,region=North,2024-06-15,2024-06-15,10,1016191.39,TRUE,TRUE
A1_spike_44_2.5sigma_negative,spike,2.5,region=Central,2024-06-15,2024-06-15,9,497793.45,TRUE,TRUE
A1_spike_45_2.5sigma_positive,spike,2.5,product=Software Dev,2024-06-15,2024-06-15,11,1738636.94,TRUE,TRUE
A1_spike_46_2.5sigma_positive,spike,2.5,product=Cloud Services,2024-06-15,2024-06-15,6,1010021.94,TRUE,TRUE
A1_spike_47_2.5sigma_negative,spike,2.5,product=Software Dev,2024-06-15,2024-06-15,11,1222743.92,TRUE,TRUE
A1_spike_48_2.5sigma_negative,spike,2.5,product=Cloud Services,2024-06-15,2024-06-15,7,824528.17,TRUE,TRUE
A1_spike_49_3.0sigma_positive,spike,3.0,region=North,2024-06-15,2024-06-15,8,1528745.6400000001,TRUE,TRUE
A1_spike_50_3.0sigma_positive,spike,3.0,region=Central,2024-06-15,2024-06-15,12,1302406.82,TRUE,TRUE
A1_spike_51_3.0sigma_negative,spike,3.0,region=North,2024-06-15,2024-06-15,9,1057996.51,TRUE,TRUE
A1_spike_52_3.0sigma_negative,spike,3.0,region=Central,2024-06-15,2024-06-15,6,486892.85,TRUE,TRUE
A1_spike_53_3.0sigma_positive,spike,3.0,product=Software Dev,2024-06-15,2024-06-15,12,1508850.08,TRUE,TRUE
A1_spike_54_3.0sigma_positive,spike,3.0,product=Cloud Services,2024-06-15,2024-06-15,12,1779336.1,TRUE,TRUE
A1_spike_55_3.0sigma_negative,spike,3.0,product=Software Dev,2024-06-15,2024-06-15,12,1097295.27,TRUE,TRUE
A1_spike_56_3.0sigma_negative,spike,3.0,product=Cloud Services,2024-06-15,2024-06-15,13,1355442.26,TRUE,TRUE
A1_spike_57_3.0sigma_positive,spike,3.0,region=North,2024-06-15,2024-06-15,7,885985.5,TRUE,TRUE
A1_spike_58_3.0sigma_positive,spike,3.0,region=Central,2024-06-15,2024-06-15,6,512154.42,TRUE,TRUE
A1_spike_59_3.0sigma_negative,spike,3.0,region=North,2024-06-15,2024-06-15,5,422821.08,TRUE,TRUE
A1_spike_60_3.0sigma_negative,spike,3.0,region=Central,2024-06-15,2024-06-15,5,304309.95,TRUE,TRUE
A1_spike_61_3.0sigma_positive,spike,3.0,product=Software Dev,2024-06-15,2024-06-15,13,1763229.3,TRUE,TRUE
A1_spike_62_3.0sigma_positive,spike,3.0,product=Cloud Services,2024-06-15,2024-06-15,12,1388096.07,TRUE,TRUE
A1_spike_63_3.0sigma_negative,spike,3.0,product=Software Dev,2024-06-15,2024-06-15,9,841083.81,TRUE,TRUE
A1_spike_64_3.0sigma_negative,spike,3.0,product=Cloud Services,2024-06-15,2024-06-15,9,810147.88,TRUE,TRUE
A1_spike_65_4.0sigma_positive,spike,4.0,region=North,2024-06-15,2024-06-15,5,743563.61,TRUE,TRUE
A1_spike_66_4.0sigma_positive,spike,4.0,region=Central,2024-06-15,2024-06-15,12,1285839.24,TRUE,TRUE
A1_spike_67_4.0sigma_negative,spike,4.0,region=North,2024-06-15,2024-06-15,14,1281639.56,TRUE,TRUE
A1_spike_68_4.0sigma_negative,spike,4.0,region=Central,2024-06-15,2024-06-15,9,416049.41,TRUE,TRUE
A1_spike_69_4.0sigma_positive,spike,4.0,product=Software Dev,2024-06-15,2024-06-15,6,1060142.91,TRUE,TRUE
A1_spike_70_4.0sigma_positive,spike,4.0,product=Cloud Services,2024-06-15,2024-06-15,11,1624098.08,TRUE,TRUE
A1_spike_71_4.0sigma_negative,spike,4.0,product=Software Dev,2024-06-15,2024-06-15,12,792519.96,TRUE,TRUE
A1_spike_72_4.0sigma_negative,spike,4.0,product=Cloud Services,2024-06-15,2024-06-15,12,914777.26,TRUE,TRUE
A1_spike_73_4.0sigma_positive,spike,4.0,region=North,2024-06-15,2024-06-15,10,1269374.39,TRUE,TRUE
A1_spike_74_4.0sigma_positive,spike,4.0,region=Central,2024-06-15,2024-06-15,8,926956.92,TRUE,TRUE
A1_spike_75_4.0sigma_negative,spike,4.0,region=North,2024-06-15,2024-06-15,5,474470.78,TRUE,TRUE
A1_spike_76_4.0sigma_negative,spike,4.0,region=Central,2024-06-15,2024-06-15,9,420624.24,TRUE,TRUE
A1_spike_77_4.0sigma_positive,spike,4.0,product=Software Dev,2024-06-15,2024-06-15,10,990669.33,TRUE,TRUE
A1_spike_78_4.0sigma_positive,spike,4.0,product=Cloud Services,2024-06-15,2024-06-15,6,845700.52,TRUE,TRUE
A1_spike_79_4.0sigma_negative,spike,4.0,product=Software Dev,2024-06-15,2024-06-15,14,948439.37,TRUE,TRUE
A1_spike_80_4.0sigma_negative,spike,4.0,product=Cloud Services,2024-06-15,2024-06-15,5,389483.76,TRUE,TRUE
A1_spike_81_5.0sigma_positive,spike,5.0,region=North,2024-06-15,2024-06-15,6,820767.29,TRUE,TRUE
A1_spike_82_5.0sigma_positive,spike,5.0,region=Central,2024-06-15,2024-06-15,10,1271775.43,TRUE,TRUE
A1_spike_83_5.0sigma_negative,spike,5.0,region=North,2024-06-15,2024-06-15,7,462561.64,TRUE,TRUE
A1_spike_84_5.0sigma_negative,spike,5.0,region=Central,2024-06-15,2024-06-15,13,589924.4400000001,TRUE,TRUE
A1_spike_85_5.0sigma_positive,spike,5.0,product=Software Dev,2024-06-15,2024-06-15,11,1059972.08,TRUE,TRUE
A1_spike_86_5.0sigma_positive,spike,5.0,product=Cloud Services,2024-06-15,2024-06-15,7,959811.6,TRUE,TRUE
A1_spike_87_5.0sigma_negative,spike,5.0,product=Software Dev,2024-06-15,2024-06-15,12,553903.91,TRUE,TRUE
A1_spike_88_5.0sigma_negative,spike,5.0,product=Cloud Services,2024-06-15,2024-06-15,15,783765.92,TRUE,TRUE
A1_spike_89_5.0sigma_positive,spike,5.0,region=North,2024-06-15,2024-06-15,12,1718144.02,TRUE,TRUE
A1_spike_90_5.0sigma_positive,spike,5.0,region=Central,2024-06-15,2024-06-15,10,1367374.56,TRUE,TRUE
A1_spike_91_5.0sigma_negative,spike,5.0,region=North,2024-06-15,2024-06-15,7,453935.22000000003,TRUE,TRUE
A1_spike_92_5.0sigma_negative,spike,5.0,region=Central,2024-06-15,2024-06-15,11,664814.62,TRUE,TRUE
A1_spike_93_5.0sigma_positive,spike,5.0,product=Software Dev,2024-06-15,2024-06-15,11,927840.53,TRUE,TRUE
A1_spike_94_5.0sigma_positive,spike,5.0,product=Cloud Services,2024-06-15,2024-06-15,6,628782.78,TRUE,TRUE
A1_spike_95_5.0sigma_negative,spike,5.0,product=Software Dev,2024-06-15,2024-06-15,8,313346.75,TRUE,TRUE
A1_spike_96_5.0sigma_negative,spike,5.0,product=Cloud Services,2024-06-15,2024-06-15,9,306859.75,TRUE,TRUE
A2_level_97_5pct_North,level_shift,0.05,region=North,2023-04-01,2024-12-31,45,5878352.92,TRUE,TRUE
A2_level_98_5pct_Central,level_shift,0.05,region=Central,2023-04-01,2024-12-31,30,2985858.09,TRUE,TRUE
A2_level_99_5pct_Software Dev,level_shift,0.05,product=Software Dev,2023-04-01,2024-12-31,38,5068854.66,TRUE,TRUE
A2_level_100_5pct_Cloud Services,level_shift,0.05,product=Cloud Services,2023-04-01,2024-12-31,40,5272622.71,TRUE,TRUE
A2_level_101_5pct_North,level_shift,0.05,region=North,2023-07-01,2024-12-31,34,4483719.31,TRUE,TRUE
A2_level_102_5pct_Central,level_shift,0.05,region=Central,2023-07-01,2024-12-31,44,4589027.95,TRUE,TRUE
A2_level_103_5pct_Software Dev,level_shift,0.05,product=Software Dev,2023-07-01,2024-12-31,47,6493068.06,TRUE,TRUE
A2_level_104_5pct_Cloud Services,level_shift,0.05,product=Cloud Services,2023-07-01,2024-12-31,39,4996292.55,TRUE,TRUE
A2_level_105_10pct_North,level_shift,0.1,region=North,2023-04-01,2024-12-31,46,7130355.8,TRUE,TRUE
A2_level_106_10pct_Central,level_shift,0.1,region=Central,2023-04-01,2024-12-31,26,2818320.98,TRUE,TRUE
A2_level_107_10pct_Software Dev,level_shift,0.1,product=Software Dev,2023-04-01,2024-12-31,31,4665002.5,TRUE,TRUE
A2_level_108_10pct_Cloud Services,level_shift,0.1,product=Cloud Services,2023-04-01,2024-12-31,22,3006589.75,TRUE,TRUE
A2_level_109_10pct_North,level_shift,0.1,region=North,2023-07-01,2024-12-31,46,6782288.49,TRUE,TRUE
A2_level_110_10pct_Central,level_shift,0.1,region=Central,2023-07-01,2024-12-31,24,2445455.48,TRUE,TRUE
A2_level_111_10pct_Software Dev,level_shift,0.1,product=Software Dev,2023-07-01,2024-12-31,28,3565794.68,TRUE,TRUE
A2_level_112_10pct_Cloud Services,level_shift,0.1,product=Cloud Services,2023-07-01,2024-12-31,30,4150589.9,TRUE,TRUE
A2_level_113_15pct_North,level_shift,0.15,region=North,2023-04-01,2024-12-31,23,3557612.87,TRUE,TRUE
A2_level_114_15pct_Central,level_shift,0.15,region=Central,2023-04-01,2024-12-31,28,3019446.23,TRUE,TRUE
A2_level_115_15pct_Software Dev,level_shift,0.15,product=Software Dev,2023-04-01,2024-12-31,47,6856723.69,TRUE,TRUE
A2_level_116_15pct_Cloud Services,level_shift,0.15,product=Cloud Services,2023-04-01,2024-12-31,41,6147447.29,TRUE,TRUE
A2_level_117_15pct_North,level_shift,0.15,region=North,2023-07-01,2024-12-31,42,6156640.95,TRUE,TRUE
A2_level_118_15pct_Central,level_shift,0.15,region=Central,2023-07-01,2024-12-31,39,4184524.13,TRUE,TRUE
A2_level_119_15pct_Software Dev,level_shift,0.15,product=Software Dev,2023-07-01,2024-12-31,21,2991728.52,TRUE,TRUE
A2_level_120_15pct_Cloud Services,level_shift,0.15,product=Cloud Services,2023-07-01,2024-12-31,33,4971410.46,TRUE,TRUE
A2_level_121_20pct_North,level_shift,0.2,region=North,2023-04-01,2024-12-31,50,8332940.18,TRUE,TRUE
A2_level_122_20pct_Central,level_shift,0.2,region=Central,2023-04-01,2024-12-31,46,5071478.07,TRUE,TRUE
A2_level_123_20pct_Software Dev,level_shift,0.2,product=Software Dev,2023-04-01,2024-12-31,48,7359717.53,TRUE,TRUE
A2_level_124_20pct_Cloud Services,level_shift,0.2,product=Cloud Services,2023-04-01,2024-12-31,29,4525794.26,TRUE,TRUE
A2_level_125_20pct_North,level_shift,0.2,region=North,2023-07-01,2024-12-31,49,7560064.77,TRUE,TRUE
A2_level_126_20pct_Central,level_shift,0.2,region=Central,2023-07-01,2024-12-31,21,2037107.84,TRUE,TRUE
A2_level_127_20pct_Software Dev,level_shift,0.2,product=Software Dev,2023-07-01,2024-12-31,31,4619719.13,TRUE,TRUE
A2_level_128_20pct_Cloud Services,level_shift,0.2,product=Cloud Services,2023-07-01,2024-12-31,34,5327225.01,TRUE,TRUE
A2_level_129_25pct_North,level_shift,0.25,region=North,2023-04-01,2024-12-31,45,7598548.88,TRUE,TRUE
A2_level_130_25pct_Central,level_shift,0.25,region=Central,2023-04-01,2024-12-31,33,3597263.41,TRUE,TRUE
A2_level_131_25pct_Software Dev,level_shift,0.25,product=Software Dev,2023-04-01,2024-12-31,38,6048831.9799999995,TRUE,TRUE
A2_level_132_25pct_Cloud Services,level_shift,0.25,product=Cloud Services,2023-04-01,2024-12-31,30,4237383.53,TRUE,TRUE
A2_level_133_25pct_North,level_shift,0.25,region=North,2023-07-01,2024-12-31,26,3700819.84,TRUE,TRUE
A2_level_134_25pct_Central,level_shift,0.25,region=Central,2023-07-01,2024-12-31,37,4093634.52,TRUE,TRUE
A2_level_135_25pct_Software Dev,level_shift,0.25,product=Software Dev,2023-07-01,2024-12-31,34,5318806.22,TRUE,TRUE
A2_level_136_25pct_Cloud Services,level_shift,0.25,product=Cloud Services,2023-07-01,2024-12-31,29,4704038.35,TRUE,TRUE
A2_level_137_30pct_North,level_shift,0.3,region=North,2023-04-01,2024-12-31,46,7822335.92,TRUE,TRUE
A2_level_138_30pct_Central,level_shift,0.3,region=Central,2023-04-01,2024-12-31,41,4919156.31,TRUE,TRUE
A2_level_139_30pct_Software Dev,level_shift,0.3,product=Software Dev,2023-04-01,2024-12-31,21,3827665.6,TRUE,TRUE
A2_level_140_30pct_Cloud Services,level_shift,0.3,product=Cloud Services,2023-04-01,2024-12-31,33,5369668.85,TRUE,TRUE
A2_level_141_30pct_North,level_shift,0.3,region=North,2023-07-01,2024-12-31,40,6488021.19,TRUE,TRUE
A2_level_142_30pct_Central,level_shift,0.3,region=Central,2023-07-01,2024-12-31,49,6220601.93,TRUE,TRUE
