transaction_id,date,region,product,channel,transaction_type,amount,cost,margin,customer_id,vendor_id,description
093993e2,2023-01-01,North,Software Dev,Direct,Invoice,85238.63,52578.25,32660.38,CUST-2679,VEND-9935,Invoice - Software Dev - North
7e896ca1,2023-01-01,North,Security,Contract,Invoice,86277.99,50829.1,35448.89,CUST-4811,VEND-9279,Invoice - Security - North
845d0341,2023-01-01,Mekong,Software Dev,Partner,Payment,51169.8,31257.02,19912.78,CUST-9928,VEND-7873,Payment - Software Dev - Mekong
4a1fa25a,2023-01-01,Central,Integration,Partner,Estimate,52180.61,32412.76,19767.85,CUST-3615,VEND-7924,Estimate - Integration - Central
e3781e30,2023-01-01,South,Training,Agency,Estimate,46932.88,28769.42,18163.46,CUST-2674,VEND-2519,Estimate - Training - South
4cae8958,2023-01-01,Highlands,Cloud Services,Direct,Payment,45252.15,31458.13,13794.02,CUST-1711,VEND-8527,Payment - Cloud Services - Highlands
a2b45add,2023-01-01,Mekong,Cloud Services,Contract,Invoice,66341.41,39489.33,26852.08,CUST-6925,VEND-4150,Invoice - Cloud Services - Mekong
ec696638,2023-01-01,Urban,Cloud Services,Online,Estimate,117540.76,78865.65,38675.11,CUST-2307,VEND-4814,Estimate - Cloud Services - Urban
2b7c23e2,2023-01-01,North,Support,Direct,Estimate,48744.38,31388.62,17355.76,CUST-3664,VEND-7065,Estimate - Support - North
cd82ec0c,2023-01-01,South,Maintenance,Direct,Credit Memo,54275.3,36702.95,17572.35,CUST-2169,VEND-3803,Credit Memo - Maintenance - South
e22e28fc,2023-01-01,Mekong,Maintenance,Agency,Invoice,37718.72,24332.11,13386.61,CUST-4598,VEND-6313,Invoice - Maintenance - Mekong
3d3ba99a,2023-01-01,North,Maintenance,Online,Payment,68567.0,47287.64,21279.36,CUST-2084,VEND-4456,Payment - Maintenance - North
82d60d48,2023-01-01,Mekong,Hardware,Agency,Payment,46449.31,31130.65,15318.66,CUST-8517,VEND-3340,Payment - Hardware - Mekong
a203efb1,2023-01-01,South,Consulting,Agency,Payment,62617.74,42695.82,19921.92,CUST-8019,VEND-7543,Payment - Consulting - South
50402e3a,2023-01-01,South,Maintenance,Agency,Invoice,49825.69,32448.4,17377.29,CUST-1771,VEND-2796,Invoice - Maintenance - South
f9bda46a,2023-01-01,Central,Consulting,Contract,Payment,59124.06,39171.65,19952.41,CUST-8668,VEND-9669,Payment - Consulting - Central
9b4223b9,2023-01-01,South,Analytics,Online,Invoice,80193.24,54005.08,26188.16,CUST-9797,VEND-5371,Invoice - Analytics - South
a8ed5256,2023-01-01,Urban,Hardware,Online,Invoice,95522.28,59525.19,35997.09,CUST-1053,VEND-5315,Invoice - Hardware - Urban
e65872c0,2023-01-01,Mekong,Consulting,Partner,Estimate,40166.74,28262.99,11903.75,CUST-5889,VEND-9317,Estimate - Consulting - Mekong
76523053,2023-01-01,Mekong,Maintenance,Agency,Invoice,34900.53,22113.28,12787.25,CUST-9689,VEND-1009,Invoice - Maintenance - Mekong
2e89de8a,2023-01-01,Mekong,Hardware,Contract,Sales Receipt,55297.51,32489.06,22808.45,CUST-6038,VEND-4923,Sales Receipt - Hardware - Mekong
6d5c41d8,2023-01-01,North,Maintenance,Partner,Invoice,53095.69,37597.24,15498.45,CUST-8962,VEND-2133,Invoice - Maintenance - North
d0ff9268,2023-01-01,Mekong,Consulting,Agency,Sales Receipt,50211.08,33679.97,16531.11,CUST-3705,VEND-5342,Sales Receipt - Consulting - Mekong
736ba01c,2023-01-01,Mekong,Security,Contract,Sales Receipt,48597.7,34522.21,14075.49,CUST-4295,VEND-6107,Sales Receipt - Security - Mekong
51d4c399,2023-01-01,Highlands,Hardware,Contract,Payment,44519.62,31250.54,13269.08,CUST-5061,VEND-4681,Payment - Hardware - Highlands
ee3d0d49,2023-01-01,North,Hardware,Online,Invoice,83627.74,55318.09,28309.65,CUST-4608,VEND-1117,Invoice - Hardware - North
d56299a6,2023-01-01,North,Software Dev,Agency,Invoice,82452.63,48957.24,33495.39,CUST-6413,VEND-2160,Invoice - Software Dev - North
333cd7d8,2023-01-01,Mekong,Maintenance,Direct,Invoice,36555.36,24564.0,11991.36,CUST-3167,VEND-8744,Invoice - Maintenance - Mekong
cb4bcab9,2023-01-01,Central,Integration,Contract,Invoice,56381.33,34378.7,22002.63,CUST-8062,VEND-6804,Invoice - Integration - Central
bab6cd9b,2023-01-01,Highlands,Support,Contract,Invoice,34598.94,24125.8,10473.14,CUST-2612,VEND-1993,Invoice - Support - Highlands
a8be0a50,2023-01-01,Highlands,Hardware,Online,Invoice,46163.94,28498.17,17665.77,CUST-8350,VEND-3296,Invoice - Hardware - Highlands
aaca8cb0,2023-01-01,Highlands,Consulting,Direct,Estimate,48350.23,31192.75,17157.48,CUST-2235,VEND-8260,Estimate - Consulting - Highlands
7cf75687,2023-01-01,Mekong,Cloud Services,Online,Payment,61639.81,41285.04,20354.77,CUST-1241,VEND-2528,Payment - Cloud Services - Mekong
8c396a58,2023-01-01,Central,Consulting,Contract,Invoice,56799.53,36813.67,19985.86,CUST-7570,VEND-1960,Invoice - Consulting - Central
2bc59d43,2023-01-01,Central,Support,Online,Invoice,47551.95,33908.83,13643.12,CUST-8454,VEND-5673,Invoice - Support - Central
7d87c25d,2023-01-01,Highlands,Analytics,Contract,Invoice,48152.07,29137.95,19014.12,CUST-1958,VEND-9883,Invoice - Analytics - Highlands
cb61c5ee,2023-01-01,North,Hardware,Online,Payment,84244.77,49832.34,34412.43,CUST-9701,VEND-3579,Payment - Hardware - North
7f5fd2e6,2023-01-01,North,Analytics,Online,Invoice,80666.3,56117.49,24548.81,CUST-2113,VEND-4853,Invoice - Analytics - North
45afaa1d,2023-01-01,Highlands,Cloud Services,Partner,Payment,39351.83,24280.39,15071.44,CUST-2343,VEND-7868,Payment - Cloud Services - Highlands
4d096172,2023-01-01,Urban,Security,Partner,Sales Receipt,78818.4,51465.4,27353.0,CUST-4346,VEND-6147,Sales Receipt - Security - Urban
ffbf8348,2023-01-01,Central,Training,Contract,Payment,42539.47,25609.36,16930.11,CUST-8491,VEND-6180,Payment - Training - Central
c0a0bbf6,2023-01-01,North,Software Dev,Contract,Payment,99850.16,66475.31,33374.85,CUST-2638,VEND-2200,Payment - Software Dev - North
4323978d,2023-01-01,Mekong,Maintenance,Partner,Sales Receipt,33467.28,20732.18,12735.1,CUST-2127,VEND-5002,Sales Receipt - Maintenance - Mekong
5cd9d091,2023-01-01,South,Training,Agency,Payment,46689.85,29973.2,16716.65,CUST-5956,VEND-9666,Payment - Training - South
fda445bd,2023-01-01,North,Analytics,Direct,Invoice,67304.45,47525.58,19778.87,CUST-3200,VEND-5333,Invoice - Analytics - North
741c3152,2023-01-01,North,Cloud Services,Partner,Invoice,70927.83,42926.11,28001.72,CUST-4450,VEND-6617,Invoice - Cloud Services - North
58cd5fec,2023-01-01,Central,Training,Partner,Sales Receipt,30772.25,19956.09,10816.16,CUST-1832,VEND-2512,Sales Receipt - Training - Central
9237fa02,2023-01-01,Urban,Support,Direct,Invoice,61432.32,36289.99,25142.33,CUST-3143,VEND-5291,Invoice - Support - Urban
